iter	Passed	Remaining
0	117	117282
1	203	101604
2	285	94853
3	374	93361
4	459	91416
5	530	87879
6	605	85833
7	679	84281
8	750	82620
9	824	81653
10	905	81376
11	976	80421
12	1047	79539
13	1122	79057
14	1196	78561
15	1273	78293
16	1342	77649
17	1416	77288
18	1487	76811
19	1560	76461
20	1634	76200
21	1713	76160
22	1789	76034
23	1862	75747
24	1935	75474
25	2007	75196
26	2079	74947
27	2155	74812
28	2231	74708
29	2304	74528
30	2380	74402
31	2456	74298
32	2526	74036
33	2599	73866
34	2675	73780
35	2750	73657
36	2823	73474
37	2892	73233
38	2965	73065
39	3040	72979
40	3119	72959
41	3199	72985
42	3280	73010
43	3357	72952
44	3433	72872
45	3511	72833
46	3591	72815
47	3669	72778
48	3747	72726
49	3821	72610
50	3895	72477
51	3969	72375
52	4053	72419
53	4142	72563
54	4220	72515
55	4303	72545
56	4384	72539
57	4457	72403
58	4532	72284
59	4603	72114
60	4676	71990
61	4748	71833
62	4820	71692
63	4895	71603
64	4984	71699
65	5066	71693
66	5150	71723
67	5232	71717
68	5316	71735
69	5402	71773
70	5476	71661
71	5549	71523
72	5624	71421
73	5694	71264
74	5772	71190
75	5851	71145
76	5926	71043
77	5998	70909
78	6072	70795
79	6147	70696
80	6222	70603
81	6295	70483
82	6371	70389
83	6445	70286
84	6520	70188
85	6593	70075
86	6667	69974
87	6740	69851
88	6811	69718
89	6884	69609
90	6954	69471
91	7030	69384
92	7099	69240
93	7170	69111
94	7247	69040
95	7316	68899
96	7389	68787
97	7460	68669
98	7536	68592
99	7609	68482
100	7682	68381
101	7753	68262
102	7826	68162
103	7904	68099
104	7981	68029
105	8051	67908
106	8124	67808
107	8198	67710
108	8269	67596
109	8341	67490
110	8413	67382
111	8483	67261
112	8554	67148
113	8629	67071
114	8701	66963
115	8775	66875
116	8845	66760
117	8919	66670
118	8991	66570
119	9066	66489
120	9139	66392
121	9215	66321
122	9285	66209
123	9356	66100
124	9427	65994
125	9499	65895
126	9574	65818
127	9644	65706
128	9718	65616
129	9789	65513
130	9861	65418
131	9940	65366
132	10011	65264
133	10086	65184
134	10156	65079
135	10228	64982
136	10302	64900
137	10378	64830
138	10449	64729
139	10525	64654
140	10596	64553
141	10668	64461
142	10743	64383
143	10814	64285
144	10884	64179
145	10954	64078
146	11027	63987
147	11099	63894
148	11170	63801
149	11241	63702
150	11312	63605
151	11383	63509
152	11456	63422
153	11530	63341
154	11603	63258
155	11678	63183
156	11750	63090
157	11822	63003
158	11892	62903
159	11964	62815
160	12040	62744
161	12112	62653
162	12184	62566
163	12255	62472
164	12331	62404
165	12402	62311
166	12475	62229
167	12548	62143
168	12623	62070
169	12691	61966
170	12765	61888
171	12838	61801
172	12909	61714
173	12983	61636
174	13054	61541
175	13131	61477
176	13204	61396
177	13278	61318
178	13347	61221
179	13420	61136
180	13490	61043
181	13560	60949
182	13634	60870
183	13709	60800
184	13798	60786
185	13881	60748
186	13956	60677
187	14032	60607
188	14108	60541
189	14183	60465
190	14257	60390
191	14338	60342
192	14417	60286
193	14499	60240
194	14585	60212
195	14672	60189
196	14757	60153
197	14840	60112
198	14920	60058
199	15000	60001
200	15084	59962
201	15168	59922
202	15255	59895
203	15335	59839
204	15409	59759
205	15492	59714
206	15565	59631
207	15639	59548
208	15711	59463
209	15782	59371
210	15853	59280
211	15925	59193
212	15997	59107
213	16071	59027
214	16144	58945
215	16216	58858
216	16283	58755
217	16353	58664
218	16429	58591
219	16501	58505
220	16568	58401
221	16638	58308
222	16711	58226
223	16781	58134
224	16853	58051
225	16925	57966
226	16996	57879
227	17067	57788
228	17138	57700
229	17211	57620
230	17282	57534
231	17354	57450
232	17427	57369
233	17499	57283
234	17568	57191
235	17639	57105
236	17712	57024
237	17782	56933
238	17850	56838
239	17921	56751
240	17993	56668
241	18067	56591
242	18139	56508
243	18217	56444
244	18287	56356
245	18361	56278
246	18432	56193
247	18502	56104
248	18572	56016
249	18642	55928
250	18712	55838
251	18783	55753
252	18854	55668
253	18926	55588
254	18999	55507
255	19069	55420
256	19140	55335
257	19214	55259
258	19285	55176
259	19355	55088
260	19425	55002
261	19498	54922
262	19570	54841
263	19639	54752
264	19714	54678
265	19783	54590
266	19859	54521
267	19930	54435
268	20000	54351
269	20069	54263
270	20142	54182
271	20217	54110
272	20290	54033
273	20360	53947
274	20433	53869
275	20504	53788
276	20578	53712
277	20658	53651
278	20738	53594
279	20820	53537
280	20902	53483
281	20981	53420
282	21064	53368
283	21149	53321
284	21228	53256
285	21309	53200
286	21394	53151
287	21477	53096
288	21561	53045
289	21643	52989
290	21724	52930
291	21806	52873
292	21890	52821
293	21972	52763
294	22073	52751
295	22231	52874
296	22317	52825
297	22397	52762
298	22488	52723
299	22560	52641
300	22634	52563
301	22705	52477
302	22776	52394
303	22848	52310
304	22918	52224
305	22987	52135
306	23059	52052
307	23132	51972
308	23202	51886
309	23273	51802
310	23346	51722
311	23416	51636
312	23487	51552
313	23558	51469
314	23631	51389
315	23702	51305
316	23772	51219
317	23843	51135
318	23914	51053
319	23988	50976
320	24062	50897
321	24137	50822
322	24208	50739
323	24280	50660
324	24357	50589
325	24436	50522
326	24506	50437
327	24579	50357
328	24653	50280
329	24721	50191
330	24794	50113
331	24866	50033
332	24938	49951
333	25011	49873
334	25084	49795
335	25156	49714
336	25227	49631
337	25298	49548
338	25370	49469
339	25440	49384
340	25512	49304
341	25584	49223
342	25652	49135
343	25723	49053
344	25796	48976
345	25868	48895
346	25939	48814
347	26010	48731
348	26085	48657
349	26155	48574
350	26226	48493
351	26300	48416
352	26372	48337
353	26445	48259
354	26521	48186
355	26593	48107
356	26665	48028
357	26734	47943
358	26805	47861
359	26877	47781
360	26946	47698
361	27016	47614
362	27087	47533
363	27156	47450
364	27226	47367
365	27297	47286
366	27366	47202
367	27433	47113
368	27504	47032
369	27575	46953
370	27643	46867
371	27715	46788
372	27785	46706
373	27853	46621
374	27921	46536
375	27994	46459
376	28060	46370
377	28129	46287
378	28201	46209
379	28270	46125
380	28340	46044
381	28410	45962
382	28487	45891
383	28557	45810
384	28627	45729
385	28700	45653
386	28767	45566
387	28834	45480
388	28907	45404
389	28976	45322
390	29044	45238
391	29113	45156
392	29187	45080
393	29254	44995
394	29324	44914
395	29396	44836
396	29463	44752
397	29531	44668
398	29602	44589
399	29671	44507
400	29740	44425
401	29811	44346
402	29879	44262
403	29948	44180
404	30021	44106
405	30095	44030
406	30163	43948
407	30233	43868
408	30305	43791
409	30375	43711
410	30445	43631
411	30519	43556
412	30594	43483
413	30665	43406
414	30734	43324
415	30806	43248
416	30875	43167
417	30948	43090
418	31023	43017
419	31095	42940
420	31164	42859
421	31231	42776
422	31303	42699
423	31372	42619
424	31440	42537
425	31510	42458
426	31580	42378
427	31650	42299
428	31721	42221
429	31800	42154
430	31875	42081
431	31952	42011
432	32030	41942
433	32104	41868
434	32180	41798
435	32249	41717
436	32319	41637
437	32407	41582
438	32494	41524
439	32574	41458
440	32665	41405
441	32731	41322
442	32802	41243
443	32870	41162
444	32941	41084
445	33015	41010
446	33091	40939
447	33160	40858
448	33226	40774
449	33293	40692
450	33367	40618
451	33437	40538
452	33508	40461
453	33581	40386
454	33652	40309
455	33723	40231
456	33792	40151
457	33862	40073
458	33936	39999
459	34019	39936
460	34100	39869
461	34178	39800
462	34250	39724
463	34325	39652
464	34397	39575
465	34475	39506
466	34550	39433
467	34629	39365
468	34712	39300
469	34790	39231
470	34869	39163
471	34948	39094
472	35024	39022
473	35098	38949
474	35171	38873
475	35239	38793
476	35309	38714
477	35377	38634
478	35450	38558
479	35528	38488
480	35614	38428
481	35698	38365
482	35774	38292
483	35849	38219
484	35922	38145
485	35988	38062
486	36058	37983
487	36125	37902
488	36190	37818
489	36262	37742
490	36346	37678
491	36421	37605
492	36510	37546
493	36594	37483
494	36664	37405
495	36739	37331
496	36811	37255
497	36881	37177
498	36952	37100
499	37026	37026
500	37098	36950
501	37167	36871
502	37239	36794
503	37312	36719
504	37380	36640
505	37451	36562
506	37526	36490
507	37597	36413
508	37667	36335
509	37738	36258
510	37810	36183
511	37883	36107
512	37954	36030
513	38025	35954
514	38095	35876
515	38165	35798
516	38239	35724
517	38309	35646
518	38379	35568
519	38448	35491
520	38520	35414
521	38596	35343
522	38678	35276
523	38759	35208
524	38832	35134
525	38907	35060
526	38977	34983
527	39047	34906
528	39127	34837
529	39203	34765
530	39273	34688
531	39344	34611
532	39419	34538
533	39495	34466
534	39570	34392
535	39643	34317
536	39713	34241
537	39789	34168
538	39861	34093
539	39933	34017
540	40005	33942
541	40074	33863
542	40144	33786
543	40214	33708
544	40285	33633
545	40357	33557
546	40430	33482
547	40501	33406
548	40570	33328
549	40654	33262
550	40765	33219
551	40856	33159
552	40945	33096
553	41028	33030
554	41099	32953
555	41168	32875
556	41243	32802
557	41318	32728
558	41393	32655
559	41463	32578
560	41537	32504
561	41609	32428
562	41687	32358
563	41767	32288
564	41841	32213
565	41909	32135
566	41987	32064
567	42063	31992
568	42138	31918
569	42209	31841
570	42280	31765
571	42351	31689
572	42425	31615
573	42500	31542
574	42573	31467
575	42644	31390
576	42715	31314
577	42787	31239
578	42859	31163
579	42931	31088
580	43003	31012
581	43078	30939
582	43155	30867
583	43226	30791
584	43301	30717
585	43372	30642
586	43446	30567
587	43521	30494
588	43593	30419
589	43664	30343
590	43735	30267
591	43806	30191
592	43879	30116
593	43947	30038
594	44019	29962
595	44090	29886
596	44165	29813
597	44236	29737
598	44304	29659
599	44380	29587
600	44455	29513
601	44532	29441
602	44603	29365
603	44676	29290
604	44749	29216
605	44819	29139
606	44892	29065
607	44967	28992
608	45047	28922
609	45128	28852
610	45201	28778
611	45275	28704
612	45350	28630
613	45421	28555
614	45498	28482
615	45570	28407
616	45643	28332
617	45715	28258
618	45790	28184
619	45863	28109
620	45933	28033
621	46005	27958
622	46084	27887
623	46161	27815
624	46237	27742
625	46311	27668
626	46382	27592
627	46452	27516
628	46524	27441
629	46597	27366
630	46668	27290
631	46748	27220
632	46822	27146
633	46900	27074
634	46977	27002
635	47047	26926
636	47127	26855
637	47211	26787
638	47281	26711
639	47349	26634
640	47423	26560
641	47508	26492
642	47585	26420
643	47659	26345
644	47728	26269
645	47800	26194
646	47874	26119
647	47948	26046
648	48019	25970
649	48093	25896
650	48173	25825
651	48247	25751
652	48323	25678
653	48392	25602
654	48467	25528
655	48541	25454
656	48615	25380
657	48694	25309
658	48763	25232
659	48833	25156
660	48904	25081
661	48982	25009
662	49054	24934
663	49134	24862
664	49223	24796
665	49300	24724
666	49380	24653
667	49463	24583
668	49532	24507
669	49604	24432
670	49677	24357
671	49751	24283
672	49820	24207
673	49899	24135
674	49975	24062
675	50055	23990
676	50128	23916
677	50207	23845
678	50279	23769
679	50357	23697
680	50424	23620
681	50506	23549
682	50579	23475
683	50649	23399
684	50722	23324
685	50793	23249
686	50863	23173
687	50934	23098
688	51008	23024
689	51078	22948
690	51158	22877
691	51241	22806
692	51314	22732
693	51392	22660
694	51473	22589
695	51551	22516
696	51627	22443
697	51707	22372
698	51777	22295
699	51858	22225
700	51934	22151
701	52010	22078
702	52078	22001
703	52155	21929
704	52224	21852
705	52295	21777
706	52379	21707
707	52448	21631
708	52528	21559
709	52601	21484
710	52669	21408
711	52738	21332
712	52809	21257
713	52878	21180
714	52949	21105
715	53024	21031
716	53098	20957
717	53167	20881
718	53249	20810
719	53325	20737
720	53398	20663
721	53472	20589
722	53546	20514
723	53623	20442
724	53707	20371
725	53788	20300
726	53858	20224
727	53929	20149
728	53998	20073
729	54067	19997
730	54136	19921
731	54206	19846
732	54276	19770
733	54347	19695
734	54419	19620
735	54486	19544
736	54555	19468
737	54624	19392
